,rn,total_cnt,file_infos,regist_id,regist_nm,regist_dt,regist_date,updt_id,updt_nm,updt_dt,updt_date,data_id,data_nm,dataset_nm,dataset_dc,data_dc,cl_code,cl_full_nm,cl_nm_new,grid_provd_ennc,file_provd_ennc,api_provd_ennc,link_provd_ennc,raw_data_provd_ennc,entity_id,api_id,provd_instt_id,provd_instt_nm,jrsd_instt_code,jrsd_instt_nm,kwrd_one,kwrd_two,kwrd_three,job_charger_psitn,job_charger_nm,job_charger_tlphon_no,dataset_rm,lang,lang_nm,hold_stl_code,hold_stle_nm,updt_cycle_code,updt_cycle_nm,nxttrm_regist_prarnde,threeman_right_incls_ennc,ccl_code,ccl_nm,opn_year,realm_code,rdcnt,data_rm,tot_cnt,map_provd_ennc,chart_provd_ennc
0,1,1054,,,,2014.01.22,,,,,,20141014000000000093,농산물 이력 추적 등록정보,농산물이력추적등록정보,,"이력추적등록번호, 생산자명, 대표자명, 유효기간, 품목, 주소, 등록필지수, 재배면적, 생산계획량",2202,식품안전 > 이력추적,,Y,Y,Y,N,Y,TI_NAQS_FRMPRD_CHGHST,,201410120002,국립농산물품질관리원,,,,,,,,,,,,,,,,,,,,,open,971,,0,Y,N
1,2,1054,,,,2014.10.14,,,,,,20141014000000000094,수입농산물 검사 통계정보,수입농산물검사정보,,"수입 농산물에 대한 품목, 원산지, 검사수량 등 검사 정보",2203,식품안전 > 검사,,Y,Y,Y,N,Y,TI_NAQS_INCME_FRMPRD_INSPCT,,201410120002,국립농산물품질관리원,,,,,,,,,,,,,,,,,,,,,open,304,,0,N,Y
2,3,1054,,,,2014.10.14,,,,,,20141014000000000095,우수 식품 인증정보,우수식품인증정보,,"인증구분, 인증번호, 인증기관명, 인증업체, 주소, 제품명",2301,품질관리 > 인증,,Y,Y,Y,N,Y,TI_NAQS_EXCLNC_FOOD_CRTFC,,201410120002,국립농산물품질관리원,,,,,,,,,,,,,,,,,,,,,open,282,,0,Y,N
3,4,1054,,,,2014.10.15,,,,,,20141015000000000157,양잠현황(총괄),기능성양잠산업현황,,"잠업에 종사하는 전국의 모든 잠업가구의 양잠형태별 생산현황, 누에 생산 및 판매현황 조회 서비스",1105,축산 > 곤충,,Y,Y,Y,N,Y,TI_MAFRA_SILKWM_FARM_SMRIZE,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,873,,0,N,Y
4,5,1054,,,,2014.10.14,,,,,,20141014000000000098,표준규격품 사후관리 실적통계,표준규격관리정보,,"농산물 표준규격품에 대한 조사건수,조사수량,부적격건수 등 사후관리 정보",1303,유통 > 유통관리,,Y,N,Y,N,Y,TI_NAQS_SNSDR_POSMANT_ACMSLT,,201410120002,국립농산물품질관리원,,,,,,,,,,,,,,,,,,,,,open,148,,0,N,Y
5,6,1054,,,,2014.07.15,,,,,,20141014000000000099,과실류 가공내역,과실류 가공현황,,"전국의 과실류가공업체의 과종품(사과, 배, 복숭아, 포도, 감귤, 유자, 매실, 복분자, 머루, 감, 오디, 기타 과실)별 과실류 생산량 및 가공실적 통계조회 서비스",2101,식품산업 > 가공식품,,Y,Y,Y,N,Y,TI_MAFRA_FRUIT_PRCSS_DETAILS,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,655,,0,N,Y
6,7,1054,,,,2014.10.15,,,,,,20141015000000000108,농업 관측 통계 정보,관측통계정보,,"서울시 농수산물유통공사 가격정보, 전국도매시장가격정보, 중국도매시장가격정보, 기상자료 등을 한눈에 볼 수 있는 통계정보시스템",1304,유통 > 관측전망,,N,N,N,Y,N,,,201410120015,농촌경제연구원,,,,,,,,,,,,,,,,,,,,,open,386,,0,N,N
7,8,1054,,,,2014.10.15,,,,,,20141015000000000155,품목별 임산물 생산량(액),임산물통계(대국민포털),,150개 임산물 품목별 시군구별 생산량 및 생산액,1201,산림 > 산림자원,,Y,N,Y,Y,Y,TI_FOREST_PRDLT_FSRCS,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,202,,0,N,Y
8,9,1054,,,,2014.10.15,,,,,,20141015000000000156,주요품목 주산지별 생산현황,임산물통계(대국민포털),,150개 임산물 품목별 시군구별 생산량 및 생산액,1201,산림 > 산림자원,,Y,Y,Y,Y,Y,TI_FOREST_MAIN_PRDLST_CPD,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,135,,0,N,Y
9,10,1054,,,,2014.10.15,,,,,,20141015000000000158,양잠산물 생산현황,기능성양잠산업현황,,"잠업에 종사하는 전국의 모든 잠업가구의 양잠형태별 생산현황, 누에 생산 및 판매현황 조회 서비스",1105,축산 > 곤충,,Y,Y,Y,N,Y,TI_MAFRA_SILKWM_FARM_BULK,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,382,,0,N,Y
10,11,1054,,,,2014.10.15,,,,,,20141015000000000159,시군구별_관리소별 임산물 생산량(액),임산물통계(대국민포털),,150개 임산물 품목별 시군구별 생산량 및 생산액,1201,산림 > 산림자원,,Y,Y,Y,Y,Y,TI_FOREST_SIGNGU_MO_FSRCS,,201410120014,산림청,,,,,,,,,,,,,,,,,,,,,open,163,,0,N,Y
11,12,1054,,,,2014.10.15,,,,,,20141015000000000160,뽕밭 규모별 농가수,기능성양잠산업현황,,"잠업에 종사하는 전국의 모든 잠업가구의 양잠형태별 생산현황, 누에 생산 및 판매현황 조회 서비스",1105,축산 > 곤충,,Y,Y,Y,N,Y,TI_MAFRA_FLD_SCALE_FRMHS_CO,,201410120001,농림축산식품부,,,,,,,,,,,,,,,,,,,,,open,399,,0,N,Y
